Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,13 a 17 años,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,18 a 29 años,4,4,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,30 a 60 años,18,16,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,Más de 60 años,3,2,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Hombre,No especificado,11,11,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Mujer,18 a 29 años,3,3,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Mujer,30 a 60 años,6,13,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Mujer,Más de 60 años,3,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Mujer,No especificado,9,8,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,No identificado,No especificado,11,10,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,13 a 17 años,2,2,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,18 a 29 años,34,43,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,30 a 60 años,98,88,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,Más de 60 años,16,23,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Hombre,No especificado,39,42,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,0 a 12 años,1,0,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,13 a 17 años,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,18 a 29 años,17,16,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,30 a 60 años,68,55,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,Más de 60 años,5,6,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Mujer,No especificado,29,18,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,No identificado,No especificado,29,32,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Hombre,18 a 29 años,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Hombre,30 a 60 años,5,3,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Hombre,Más de 60 años,2,4,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Hombre,No especificado,8,2,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Mujer,0 a 12 años,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Mujer,18 a 29 años,1,2,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Mujer,30 a 60 años,6,7,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Mujer,Más de 60 años,3,2,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,Mujer,No especificado,7,4,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Despojo,Despojo,Despojo,No identificado,No especificado,1,0,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Extorsión,Extorsión presencial,Extorsión presencial,Mujer,13 a 17 años,1,0,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,Hombre,18 a 29 años,1,0,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,Hombre,30 a 60 años,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,No identificado,No especificado,0,1,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Hombre,18 a 29 años,10,10,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Hombre,30 a 60 años,49,44,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Hombre,Más de 60 años,17,18,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Hombre,No especificado,13,13,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Mujer,18 a 29 años,13,20,,,,,,,,,,
2026,1,Aguascalientes,1001,Aguascalientes,El patrimonio,Fraude,Fraude,Fraude,Mujer,30 a 60 años,34,28,,,,,,,,,,
