Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Mes,Valor,Fecha
2026,26,Sonora,26001,Aconchi,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Despojo,Despojo,Despojo,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Extorsión,Extorsión por otros medios,Extorsión por otros medios,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Extorsión,Extorsión presencial,Extorsión presencial,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Extorsión,Tentativa de extorsión presencial,Tentativa de extorsión presencial,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Fraude,Fraude,Fraude,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Otros robos,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Otros robos,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a casa habitación,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a casa habitación,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a institución bancaria,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a negocio,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a negocio,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transportista,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo a transportista,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de autopartes,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de autopartes,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de ganado,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de ganado,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte individual,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte individual,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte público individual,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,Enero,0,2026-01-01
